Date,Value,SVM
2010-01-01,388.91,388.5170604169619
2010-02-01,390.41,388.7258686119348
2010-03-01,391.37,388.9144695622329
2010-04-01,392.67,389.1232777572056
2010-05-01,393.21,389.3253502039539
2010-06-01,392.38,389.53415839892665
2010-07-01,390.41,389.7362308456747
2010-08-01,388.54,389.94503904064754
2010-09-01,387.03,390.15384723562033
2010-10-01,387.43,390.3559196823685
2010-11-01,388.87,390.5647278773408
2010-12-01,389.99,390.7668003240893
2011-01-01,391.5,390.9756085190619
2011-02-01,392.05,391.1844167140356
2011-03-01,392.8,391.37301766433325
2011-04-01,393.44,391.5818258593058
2011-05-01,394.41,391.7838983060543
2011-06-01,393.95,391.9927065010278
2011-07-01,392.72,392.1947789477751
2011-08-01,390.33,392.403587142747
2011-09-01,389.28,392.61239533771965
2011-10-01,389.19,392.8144677844688
2011-11-01,390.48,393.02327597944105
2011-12-01,392.06,393.2253484261888
2012-01-01,393.31,393.43415662116183
2012-02-01,394.04,393.64296481613394
2012-03-01,394.59,393.83830151465907
2012-04-01,396.38,394.0471097096312
2012-05-01,396.93,394.2491821563786
2012-06-01,395.91,394.4579903513524
2012-07-01,394.56,394.66006279809875
2012-08-01,392.59,394.86887099307233
2012-09-01,391.32,395.0776791880465
2012-10-01,391.27,395.2797516347919
2012-11-01,393.2,395.48855982976755
2012-12-01,394.57,395.69063227651424
2013-01-01,395.78,395.89944047148657
2013-02-01,397.03,396.1082486664607
2013-03-01,397.66,396.2968496167587
2013-04-01,398.64,396.50565781173174
2013-05-01,400.02,396.7077302584774
2013-06-01,398.81,396.91653845345087
2013-07-01,397.51,397.1186109001997
2013-08-01,395.39,397.3274190951725
2013-09-01,393.72,397.5362272901439
2013-10-01,393.9,397.73829973689504
2013-11-01,395.36,397.9471079318677
2013-12-01,397.03,398.1491803786151
2014-01-01,398.04,398.35798857358515
2014-02-01,398.27,398.5667967685584
2014-03-01,399.91,398.7553977188564
2014-04-01,401.51,398.9642059138312
2014-05-01,401.96,399.16627836057836
2014-06-01,401.43,399.37508655555206
2014-07-01,399.27,399.57715900230045
2014-08-01,397.18,399.78596719727426
2014-09-01,395.54,399.99477539224546
2014-10-01,396.16,400.19684783899476
2014-11-01,397.4,400.4056560339682
2014-12-01,399.08,400.60772848071457
2015-01-01,400.18,400.81653667568827
2015-02-01,400.55,401.0253448706615
2015-03-01,401.74,401.2139458209593
2015-04-01,403.35,401.42275401593344
2015-05-01,404.15,401.62482646268114
2015-06-01,402.97,401.83363465765416
2015-07-01,401.46,402.035707104403
2015-08-01,399.11,402.2445152993699
2015-09-01,397.82,402.4533234943479
2015-10-01,398.49,402.65539594109424
2015-11-01,400.27,402.8642041360666
2015-12-01,402.06,403.0662765828152
2016-01-01,402.73,403.27508477778844
2016-02-01,404.25,403.4838929727626
2016-03-01,405.06,403.67922967128726
2016-04-01,407.6,403.8880378662596
2016-05-01,407.9,404.0901103130041
2016-06-01,406.99,404.29891850797645
2016-07-01,404.59,404.5009909547271
2016-08-01,402.45,404.70979914970036
2016-09-01,401.23,404.9186073446704
2016-10-01,401.79,405.1206797914186
2016-11-01,403.72,405.32948798639
