Date,Value,ArimaPred
2010-01-01,388.91,
2010-02-01,390.41,388.9103219567093
2010-03-01,391.37,391.3960340626635
2010-04-01,392.67,391.67491575805496
2010-05-01,393.21,393.125007574943
2010-06-01,392.38,393.1314004874412
2010-07-01,390.41,391.19388840210195
2010-08-01,388.54,388.5107024998614
2010-09-01,387.03,387.2173784625308
2010-10-01,387.43,386.5533771439803
2010-11-01,388.87,388.07649134544073
2010-12-01,389.99,390.032921617197
2011-01-01,391.5,390.9575799892991
2011-02-01,392.05,392.50616507302277
2011-03-01,392.8,392.9988530866898
2011-04-01,393.44,393.64113791145195
2011-05-01,394.41,393.6515698213445
2011-06-01,393.95,393.66591207397124
2011-07-01,392.72,392.14485642228664
2011-08-01,390.33,390.65442829417424
2011-09-01,389.28,388.8427725895046
2011-10-01,389.19,389.1410329026073
2011-11-01,390.48,390.0905711578777
2011-12-01,392.06,391.7488495230199
2012-01-01,393.31,393.10899534994974
2012-02-01,394.04,394.0892847294503
2012-03-01,394.59,394.79915844473754
2012-04-01,396.38,395.3572640631758
2012-05-01,396.93,396.84303576862675
2012-06-01,395.91,396.30122056095877
2012-07-01,394.56,394.05199553258376
2012-08-01,392.59,392.38041295773684
2012-09-01,391.32,391.1510543148521
2012-10-01,391.27,391.2251237573739
2012-11-01,393.2,392.2367336865772
2012-12-01,394.57,394.54114548688324
2013-01-01,395.78,395.5678764568446
2013-02-01,397.03,396.47852198308453
2013-03-01,397.66,397.80634907269274
2013-04-01,398.64,398.47888405259147
2013-05-01,400.02,399.0252082663712
2013-06-01,398.81,399.40100367742514
2013-07-01,397.51,396.93923739602064
2013-08-01,395.39,395.2977508417871
2013-09-01,393.72,393.92643405794354
2013-10-01,393.9,393.6237983806105
2013-11-01,395.36,394.95034690636464
2013-12-01,397.03,396.73187834129266
2014-01-01,398.04,398.07440754223705
2014-02-01,398.27,398.73551621882
2014-03-01,399.91,398.96580140320526
2014-04-01,401.51,400.80419162941257
2014-05-01,401.96,402.02379416233885
2014-06-01,401.43,401.30272075581377
2014-07-01,399.27,399.5281216155315
2014-08-01,397.18,396.9374357485339
2014-09-01,395.54,395.67776178816456
2014-10-01,396.16,395.50244918551596
2014-11-01,397.4,397.3107161049453
2014-12-01,399.08,398.7784353271075
2015-01-01,400.18,400.0643745502898
2015-02-01,400.55,400.8364780135963
2015-03-01,401.74,401.2906246717153
2015-04-01,403.35,402.68618944596864
2015-05-01,404.15,403.90415773896143
2015-06-01,402.97,403.5000416122592
2015-07-01,401.46,400.97086235383216
2015-08-01,399.11,399.08752700132925
2015-09-01,397.82,397.6013664233201
2015-10-01,398.49,397.84912551094027
2015-11-01,400.27,399.69120045116955
2015-12-01,402.06,401.668008671626
2016-01-01,402.73,402.9971319697066
2016-02-01,404.25,403.2995840087797
2016-03-01,405.06,405.0222933611129
2016-04-01,407.6,406.03472477948014
2016-05-01,407.9,408.198401833099
2016-06-01,406.99,407.1820181135543
2016-07-01,404.59,404.90089552928896
2016-08-01,402.45,402.11282379549186
2016-09-01,401.23,400.9656434237312
2016-10-01,401.79,401.3724303340724
2016-11-01,403.72,403.08319915257067
2016-12-01,404.64,405.1365529590683
2017-01-01,406.36,405.4948403793357
2017-02-01,406.65,406.9457380435916
2017-03-01,407.53,407.4384673704673
2017-04-01,409.22,408.5726450086609
2017-05-01,409.89,409.81567858274957
2017-06-01,409.08,409.1492860953281
2017-07-01,407.33,406.9472855122287
2017-08-01,405.32,404.8551186830292
2017-09-01,403.57,403.86344019121276
2017-10-01,403.82,403.7203717506532
2017-11-01,405.31,405.1051207854673
2017-12-01,407.0,406.7021612602236
2018-01-01,408.15,407.8885838586595
2018-02-01,408.52,408.738310451439
2018-03-01,409.59,409.3134875710984
2018-04-01,410.45,410.6443030274828
2018-05-01,411.44,411.01849088086925
2018-06-01,410.99,410.71218174560147
2018-07-01,408.9,408.9035671637371
2018-08-01,407.16,406.4358688608937
2018-09-01,405.71,405.6943998773507
2018-10-01,406.19,405.84395378631655
2018-11-01,408.21,407.4604468401419
2018-12-01,409.27,409.6078716429804
2019-01-01,411.03,410.12432946901254
2019-02-01,411.96,411.6065286470179
2019-03-01,412.18,412.75960826342936
2019-04-01,413.54,413.1883313125833
2019-05-01,414.86,414.0969961050314
2019-06-01,414.15,414.15658176009015
2019-07-01,411.96,412.0842837168222
2019-08-01,410.17,409.5066864022776
2019-09-01,408.76,408.70324576912947
2019-10-01,408.74,408.8963176301494
2019-11-01,410.47,410.0011274798299
2019-12-01,411.97,411.86491617577684
2020-01-01,413.59,412.8589274708077
2020-02-01,414.32,414.18386773355394
2020-03-01,414.72,415.10391723862864
2020-04-01,416.42,415.7110989644733
2020-05-01,417.28,416.9803427852841
2020-06-01,416.58,416.57013540400453
2020-07-01,414.58,414.5189787416065
2020-08-01,412.75,412.1402663469966
2020-09-01,411.5,411.28115166948385
2020-10-01,411.49,411.6285313184894
2020-11-01,413.1,412.74177706683025
2020-12-01,414.23,414.48875368332364
2021-01-01,415.49,415.11443915682196
2021-02-01,416.72,416.0835052785663
2021-03-01,417.61,417.5383811182877
