Date,Value,ExpSmooth
2010-01-01,388.91,388.91
2010-02-01,390.41,389.36
2010-03-01,391.37,389.96299999999997
2010-04-01,392.67,390.77509999999995
2010-05-01,393.21,391.5055699999999
2010-06-01,392.38,391.76789899999994
2010-07-01,390.41,391.36052929999994
2010-08-01,388.54,390.51437050999994
2010-09-01,387.03,389.46905935699994
2010-10-01,387.43,388.8573415498999
2010-11-01,388.87,388.8611390849299
2010-12-01,389.99,389.19979735945094
2011-01-01,391.5,389.8898581516156
2011-02-01,392.05,390.5379007061309
2011-03-01,392.8,391.21653049429165
2011-04-01,393.44,391.8835713460041
2011-05-01,394.41,392.6414999422028
2011-06-01,393.95,393.03404995954196
2011-07-01,392.72,392.9398349716794
2011-08-01,390.33,392.1568844801755
2011-09-01,389.28,391.2938191361228
2011-10-01,389.19,390.66267339528594
2011-11-01,390.48,390.60787137670013
2011-12-01,392.06,391.04350996369004
2012-01-01,393.31,391.72345697458303
2012-02-01,394.04,392.41841988220807
2012-03-01,394.59,393.06989391754564
2012-04-01,396.38,394.0629257422819
2012-05-01,396.93,394.92304801959733
2012-06-01,395.91,395.2191336137181
2012-07-01,394.56,395.0213935296026
2012-08-01,392.59,394.2919754707218
2012-09-01,391.32,393.40038282950525
2012-10-01,391.27,392.7612679806536
2012-11-01,393.2,392.8928875864575
2012-12-01,394.57,393.3960213105202
2013-01-01,395.78,394.1112149173641
2013-02-01,397.03,394.98685044215483
2013-03-01,397.66,395.7887953095084
2013-04-01,398.64,396.6441567166558
2013-05-01,400.02,397.656909701659
2013-06-01,398.81,398.00283679116126
2013-07-01,397.51,397.85498575381285
2013-08-01,395.39,397.115490027669
2013-09-01,393.72,396.0968430193683
2013-10-01,393.9,395.43779011355775
2013-11-01,395.36,395.4144530794904
2013-12-01,397.03,395.89911715564324
2014-01-01,398.04,396.5413820089502
2014-02-01,398.27,397.0599674062651
2014-03-01,399.91,397.9149771843856
2014-04-01,401.51,398.99348402906986
2014-05-01,401.96,399.88343882034883
2014-06-01,401.43,400.34740717424415
2014-07-01,399.27,400.0241850219709
2014-08-01,397.18,399.1709295153796
2014-09-01,395.54,398.0816506607657
2014-10-01,396.16,397.505155462536
2014-11-01,397.4,397.4736088237751
2014-12-01,399.08,397.95552617664254
2015-01-01,400.18,398.62286832364975
2015-02-01,400.55,399.2010078265548
2015-03-01,401.74,399.96270547858836
2015-04-01,403.35,400.97889383501183
2015-05-01,404.15,401.9302256845083
2015-06-01,402.97,402.2421579791558
2015-07-01,401.46,402.007510585409
2015-08-01,399.11,401.1382574097863
2015-09-01,397.82,400.1427801868504
2015-10-01,398.49,399.6469461307953
2015-11-01,400.27,399.83386229155667
2015-12-01,402.06,400.50170360408964
2016-01-01,402.73,401.17019252286275
2016-02-01,404.25,402.0941347660039
2016-03-01,405.06,402.98389433620275
2016-04-01,407.6,404.36872603534187
2016-05-01,407.9,405.4281082247393
2016-06-01,406.99,405.89667575731744
2016-07-01,404.59,405.50467303012215
2016-08-01,402.45,404.5882711210854
2016-09-01,401.23,403.58078978475976
2016-10-01,401.79,403.04355284933183
2016-11-01,403.72,403.24648699453223
2016-12-01,404.64,403.6645408961725
2017-01-01,406.36,404.47317862732075
2017-02-01,406.65,405.1262250391245
2017-03-01,407.53,405.8473575273871
2017-04-01,409.22,406.859150269171
2017-05-01,409.89,407.76840518841965
2017-06-01,409.08,408.1618836318937
2017-07-01,407.33,407.9123185423256
2017-08-01,405.32,407.13462297962786
2017-09-01,403.57,406.06523608573946
2017-10-01,403.82,405.3916652600176
2017-11-01,405.31,405.3671656820122
2017-12-01,407.0,405.85701597740854
2018-01-01,408.15,406.54491118418593
2018-02-01,408.52,407.1374378289301
2018-03-01,409.59,407.87320648025104
2018-04-01,410.45,408.6462445361757
2018-05-01,411.44,409.48437117532296
2018-06-01,410.99,409.93605982272607
2018-07-01,408.9,409.62524187590816
2018-08-01,407.16,408.88566931313574
2018-09-01,405.71,407.932968519195
2018-10-01,406.19,407.4100779634365
2018-11-01,408.21,407.65005457440554
2018-12-01,409.27,408.13603820208385
2019-01-01,411.03,409.00422674145864
2019-02-01,411.96,409.890958719021
2019-03-01,412.18,410.5776711033147
