Date,Value
2010M01,388.91
2010M02,390.41
2010M03,391.37
2010M04,392.67
2010M05,393.21
2010M06,392.38
2010M07,390.41
2010M08,388.54
2010M09,387.03
2010M10,387.43
2010M11,388.87
2010M12,389.99
2011M01,391.5
2011M02,392.05
2011M03,392.8
2011M04,393.44
2011M05,394.41
2011M06,393.95
2011M07,392.72
2011M08,390.33
2011M09,389.28
2011M10,389.19
2011M11,390.48
2011M12,392.06
2012M01,393.31
2012M02,394.04
2012M03,394.59
2012M04,396.38
2012M05,396.93
2012M06,395.91
2012M07,394.56
2012M08,392.59
2012M09,391.32
2012M10,391.27
2012M11,393.2
2012M12,394.57
2013M01,395.78
2013M02,397.03
2013M03,397.66
2013M04,398.64
2013M05,400.02
2013M06,398.81
2013M07,397.51
2013M08,395.39
2013M09,393.72
2013M10,393.9
2013M11,395.36
2013M12,397.03
2014M01,398.04
2014M02,398.27
2014M03,399.91
2014M04,401.51
2014M05,401.96
2014M06,401.43
2014M07,399.27
2014M08,397.18
2014M09,395.54
2014M10,396.16
2014M11,397.4
2014M12,399.08
2015M01,400.18
2015M02,400.55
2015M03,401.74
2015M04,403.35
2015M05,404.15
2015M06,402.97
2015M07,401.46
2015M08,399.11
2015M09,397.82
2015M10,398.49
2015M11,400.27
2015M12,402.06
2016M01,402.73
2016M02,404.25
2016M03,405.06
2016M04,407.6
2016M05,407.9
2016M06,406.99
2016M07,404.59
2016M08,402.45
2016M09,401.23
2016M10,401.79
2016M11,403.72
2016M12,404.64
2017M01,406.36
2017M02,406.65
2017M03,407.53
2017M04,409.22
2017M05,409.89
2017M06,409.08
2017M07,407.33
2017M08,405.32
2017M09,403.57
2017M10,403.82
2017M11,405.31
2017M12,407.0
2018M01,408.15
2018M02,408.52
2018M03,409.59
2018M04,410.45
2018M05,411.44
2018M06,410.99
2018M07,408.9
2018M08,407.16
2018M09,405.71
2018M10,406.19
2018M11,408.21
2018M12,409.27
2019M01,411.03
2019M02,411.96
2019M03,412.18
2019M04,413.54
2019M05,414.86
2019M06,414.15
2019M07,411.96
2019M08,410.17
2019M09,408.76
2019M10,408.74
2019M11,410.47
2019M12,411.97
2020M01,413.59
2020M02,414.32
2020M03,414.72
2020M04,416.42
2020M05,417.28
2020M06,416.58
2020M07,414.58
2020M08,412.75
2020M09,411.5
2020M10,411.49
2020M11,413.1
2020M12,414.23
2021M01,415.49
2021M02,416.72
2021M03,417.61
2021M04,419.01
2021M05,419.09
2021M06,418.93
2021M07,416.9
2021M08,414.42
2021M09,413.26
2021M10,413.9
2021M11,414.97
2021M12,416.67
2022M01,418.13
2022M02,419.24
2022M03,418.76
2022M04,420.19
2022M05,420.97
2022M06,420.94
2022M07,418.85
2022M08,417.15
2022M09,415.91
2022M10,415.74
2022M11,417.47
2022M12,418.99
2023M01,419.47
2023M02,420.31
2023M03,420.99
2023M04,423.31
2023M05,424.0
2023M06,423.68
2023M07,421.83
2023M08,419.68
2023M09,418.5
2023M10,418.82
2023M11,420.46
2023M12,421.86
2024M01,422.8
2024M02,424.55
2024M03,425.38
2024M04,426.51
2024M05,426.9
2024M06,426.91
2024M07,425.55
2024M08,422.99
2024M09,422.03
2024M10,422.38
2024M11,423.85
2024M12,425.4
2025M01,426.65
2025M02,427.09
2025M03,428.15
2025M04,429.64
