Date,Value,linearRegPred
2010-01-01,388.91,388.28659227334435
2010-02-01,390.41,388.49560582351836
2010-03-01,391.37,388.6843922559336
2010-04-01,392.67,388.8934058061076
2010-05-01,393.21,389.09567698369534
2010-06-01,392.38,389.30469053386935
2010-07-01,390.41,389.5069617114571
2010-08-01,388.54,389.7159752616311
2010-09-01,387.03,389.9249888118051
2010-10-01,387.43,390.1272599893929
2010-11-01,388.87,390.3362735395669
2010-12-01,389.99,390.53854471715465
2011-01-01,391.5,390.74755826732866
2011-02-01,392.05,390.95657181750266
2011-03-01,392.8,391.1453582499179
2011-04-01,393.44,391.3543718000919
2011-05-01,394.41,391.55664297767964
2011-06-01,393.95,391.76565652785365
2011-07-01,392.72,391.9679277054414
2011-08-01,390.33,392.1769412556154
2011-09-01,389.28,392.3859548057894
2011-10-01,389.19,392.5882259833772
2011-11-01,390.48,392.7972395335512
2011-12-01,392.06,392.99951071113895
2012-01-01,393.31,393.20852426131296
2012-02-01,394.04,393.41753781148697
2012-03-01,394.59,393.6130666164885
2012-04-01,396.38,393.8220801666625
2012-05-01,396.93,394.0243513442502
2012-06-01,395.91,394.2333648944242
2012-07-01,394.56,394.43563607201196
2012-08-01,392.59,394.64464962218597
2012-09-01,391.32,394.85366317236
2012-10-01,391.27,395.05593434994773
2012-11-01,393.2,395.26494790012174
2012-12-01,394.57,395.4672190777095
2013-01-01,395.78,395.6762326278835
2013-02-01,397.03,395.8852461780575
2013-03-01,397.66,396.0740326104728
2013-04-01,398.64,396.2830461606468
2013-05-01,400.02,396.4853173382345
2013-06-01,398.81,396.6943308884085
2013-07-01,397.51,396.89660206599626
2013-08-01,395.39,397.10561561617027
2013-09-01,393.72,397.3146291663443
2013-10-01,393.9,397.51690034393204
2013-11-01,395.36,397.72591389410604
2013-12-01,397.03,397.9281850716938
2014-01-01,398.04,398.1371986218678
2014-02-01,398.27,398.3462121720418
2014-03-01,399.91,398.5349986044571
2014-04-01,401.51,398.7440121546311
2014-05-01,401.96,398.9462833322188
2014-06-01,401.43,399.1552968823928
2014-07-01,399.27,399.35756805998057
2014-08-01,397.18,399.56658161015457
2014-09-01,395.54,399.7755951603286
2014-10-01,396.16,399.97786633791634
2014-11-01,397.4,400.18687988809035
2014-12-01,399.08,400.3891510656781
2015-01-01,400.18,400.5981646158521
2015-02-01,400.55,400.8071781660261
2015-03-01,401.74,400.99596459844133
2015-04-01,403.35,401.2049781486154
2015-05-01,404.15,401.4072493262031
2015-06-01,402.97,401.6162628763771
2015-07-01,401.46,401.81853405396487
2015-08-01,399.11,402.0275476041389
2015-09-01,397.82,402.2365611543129
2015-10-01,398.49,402.43883233190064
2015-11-01,400.27,402.64784588207465
2015-12-01,402.06,402.8501170596624
2016-01-01,402.73,403.0591306098364
2016-02-01,404.25,403.2681441600104
2016-03-01,405.06,403.46367296501194
2016-04-01,407.6,403.67268651518594
2016-05-01,407.9,403.8749576927737
2016-06-01,406.99,404.0839712429477
2016-07-01,404.59,404.2862424205354
2016-08-01,402.45,404.4952559707094
2016-09-01,401.23,404.7042695208835
2016-10-01,401.79,404.9065406984712
2016-11-01,403.72,405.1155542486452
2016-12-01,404.64,405.31782542623296
2017-01-01,406.36,405.52683897640696
2017-02-01,406.65,405.73585252658097
2017-03-01,407.53,405.92463895899624
2017-04-01,409.22,406.13365250917025
2017-05-01,409.89,406.33592368675795
2017-06-01,409.08,406.544937236932
2017-07-01,407.33,406.7472084145197
2017-08-01,405.32,406.9562219646937
2017-09-01,403.57,407.16523551486773
2017-10-01,403.82,407.3675066924555
2017-11-01,405.31,407.5765202426295
2017-12-01,407.0,407.77879142021726
2018-01-01,408.15,407.98780497039127
2018-02-01,408.52,408.1968185205653
2018-03-01,409.59,408.38560495298054
2018-04-01,410.45,408.59461850315455
2018-05-01,411.44,408.79688968074225
2018-06-01,410.99,409.00590323091626
2018-07-01,408.9,409.208174408504
2018-08-01,407.16,409.417187958678
2018-09-01,405.71,409.62620150885203
2018-10-01,406.19,409.8284726864398
2018-11-01,408.21,410.0374862366138
2018-12-01,409.27,410.23975741420156
2019-01-01,411.03,410.44877096437557
2019-02-01,411.96,410.6577845145496
2019-03-01,412.18,410.84657094696485
2019-04-01,413.54,411.05558449713885
2019-05-01,414.86,411.25785567472656
2019-06-01,414.15,411.4668692249006
2019-07-01,411.96,411.6691404024883
2019-08-01,410.17,411.87815395266233
2019-09-01,408.76,412.08716750283634
2019-10-01,408.74,412.2894386804241
2019-11-01,410.47,412.4984522305981
2019-12-01,411.97,412.70072340818587
2020-01-01,413.59,412.9097369583599
2020-02-01,414.32,413.1187505085339
2020-03-01,414.72,413.3142793135354
2020-04-01,416.42,413.5232928637094
2020-05-01,417.28,413.72556404129716
2020-06-01,416.58,413.93457759147117
2020-07-01,414.58,414.13684876905893
2020-08-01,412.75,414.34586231923294
2020-09-01,411.5,414.55487586940694
2020-10-01,411.49,414.75714704699465
2020-11-01,413.1,414.96616059716865
2020-12-01,414.23,415.1684317747564
2021-01-01,415.49,415.3774453249304
2021-02-01,416.72,415.5864588751044
2021-03-01,417.61,415.7752453075197
2021-04-01,419.01,415.9842588576937
2021-05-01,419.09,416.18653003528146
2021-06-01,418.93,416.39554358545547
2021-07-01,416.9,416.5978147630432
2021-08-01,414.42,416.80682831321724
2021-09-01,413.26,417.01584186339124
2021-10-01,413.9,417.21811304097895
2021-11-01,414.97,417.42712659115296
2021-12-01,416.67,417.6293977687407
2022-01-01,418.13,417.8384113189147
2022-02-01,419.24,418.04742486908873
2022-03-01,418.76,418.236211301504
2022-04-01,420.19,418.445224851678
2022-05-01,420.97,418.64749602926577
2022-06-01,420.94,418.8565095794398
2022-07-01,418.85,419.0587807570275
2022-08-01,417.15,419.2677943072015
2022-09-01,415.91,419.47680785737555
2022-10-01,415.74,419.67907903496325
2022-11-01,417.47,419.88809258513726
2022-12-01,418.99,420.090363762725
2023-01-01,419.47,420.299377312899
2023-02-01,420.31,420.50839086307303
2023-03-01,420.99,420.6971772954883
2023-04-01,423.31,420.9061908456623
2023-05-01,424.0,421.10846202325
2023-06-01,423.68,421.3174755734241
2023-07-01,421.83,421.5197467510118
2023-08-01,419.68,421.72876030118584
2023-09-01,418.5,421.9377738513598
2023-10-01,418.82,422.14004502894755
2023-11-01,420.46,422.34905857912156
2023-12-01,421.86,422.5513297567093
2024-01-01,422.8,422.7603433068833
2024-02-01,424.55,422.96935685705733
2024-03-01,425.38,423.16488566205885
2024-04-01,426.51,423.37389921223286
2024-05-01,426.9,423.5761703898206
2024-06-01,426.91,423.7851839399946
2024-07-01,425.55,423.9874551175824
2024-08-01,422.99,424.1964686677564
2024-09-01,422.03,424.4054822179304
2024-10-01,422.38,424.6077533955181
2024-11-01,423.85,424.81676694569217
2024-12-01,425.4,425.01903812327987
2025-01-01,426.65,425.2280516734539
2025-02-01,427.09,425.4370652236279
2025-03-01,428.15,425.62585165604315
2025-04-01,429.64,425.83486520621716
2025-05-01,,426.0401030277429
2025-06-01,,426.2453408492686
2025-07-01,,426.45057867079424
2025-08-01,,426.65581649231996
2025-09-01,,426.86105431384567
2025-10-01,,427.0662921353714
2025-11-01,,427.2715299568971
2025-12-01,,427.47676777842275
2026-01-01,,427.68200559994847
2026-02-01,,427.8872434214742
2026-03-01,,428.0924812429999
2026-04-01,,428.2977190645256
