Date,Value,MonteCarlo_Pred
2010-01-01,388.91,
2010-02-01,390.41,
2010-03-01,391.37,
2010-04-01,392.67,
2010-05-01,393.21,
2010-06-01,392.38,
2010-07-01,390.41,
2010-08-01,388.54,
2010-09-01,387.03,
2010-10-01,387.43,
2010-11-01,388.87,
2010-12-01,389.99,
2011-01-01,391.5,391.83662156382553
2011-02-01,392.05,393.0542161118821
2011-03-01,392.8,394.0156341017572
2011-04-01,393.44,395.10568972487846
2011-05-01,394.41,395.9492418837418
2011-06-01,393.95,395.15955355514444
2011-07-01,392.72,392.9500940952144
2011-08-01,390.33,391.2347304197327
2011-09-01,389.28,389.6152206416691
2011-10-01,389.19,390.25505746868345
2011-11-01,390.48,391.4929894578204
2011-12-01,392.06,392.4524193181917
2012-01-01,393.31,394.16203560641986
2012-02-01,394.04,394.5119987915432
2012-03-01,394.59,395.3784371451028
2012-04-01,396.38,396.1532933803965
2012-05-01,396.93,397.02379909758616
2012-06-01,395.91,396.5916932256919
2012-07-01,394.56,395.35556816239944
2012-08-01,392.59,393.1626580333578
2012-09-01,391.32,392.0793855374901
2012-10-01,391.27,391.79842833319134
2012-11-01,393.2,393.08715198402524
2012-12-01,394.57,394.713324759839
2013-01-01,395.78,395.81255511302817
2013-02-01,397.03,396.6647341863435
2013-03-01,397.66,397.2558605357788
2013-04-01,398.64,398.93285392713284
2013-05-01,400.02,399.5552981175736
2013-06-01,398.81,398.89912567455434
2013-07-01,397.51,397.32211531803375
2013-08-01,395.39,395.2237551788753
2013-09-01,393.72,394.2165049659512
2013-10-01,393.9,393.96701531685113
2013-11-01,395.36,395.81750961815584
2013-12-01,397.03,397.2253585463994
2014-01-01,398.04,398.4122460506211
2014-02-01,398.27,399.94623100771685
2014-03-01,399.91,400.2493914914521
2014-04-01,401.51,401.3504938760155
2014-05-01,401.96,402.8675014100898
2014-06-01,401.43,401.40158669269164
2014-07-01,399.27,400.1307094610434
2014-08-01,397.18,397.9976948354433
2014-09-01,395.54,396.2898753868037
2014-10-01,396.16,396.36727346565976
2014-11-01,397.4,398.28592864003286
2014-12-01,399.08,399.695604194386
2015-01-01,400.18,400.94565059764426
2015-02-01,400.55,401.0694454479336
2015-03-01,401.74,402.5000088081419
2015-04-01,403.35,404.1401690667161
2015-05-01,404.15,404.66951159421745
2015-06-01,402.97,404.22885180954194
2015-07-01,401.46,402.0261563881303
2015-08-01,399.11,399.89173908400744
2015-09-01,397.82,398.2725400940782
2015-10-01,398.49,398.77754887368803
2015-11-01,400.27,399.9427490556048
2015-12-01,402.06,401.64830777231253
2016-01-01,402.73,402.88899010082696
2016-02-01,404.25,403.1278975785649
2016-03-01,405.06,404.51260303309004
2016-04-01,407.6,406.09764863102924
2016-05-01,407.9,406.7456289520024
2016-06-01,406.99,405.7304075834555
2016-07-01,404.59,404.0581799199957
2016-08-01,402.45,401.8872619723277
2016-09-01,401.23,400.45783075069403
2016-10-01,401.79,401.128491490174
2016-11-01,403.72,403.1349753634723
2016-12-01,404.64,404.6131361817529
2017-01-01,406.36,405.5886398862073
2017-02-01,406.65,406.9290225692651
2017-03-01,407.53,407.51851116358444
2017-04-01,409.22,410.423793062154
2017-05-01,409.89,410.2942719702675
2017-06-01,409.08,409.77240693429525
2017-07-01,407.33,407.23548787761575
2017-08-01,405.32,405.2269865249244
2017-09-01,403.57,403.784592042167
2017-10-01,403.82,404.5531895473951
2017-11-01,405.31,406.539372875071
2017-12-01,407.0,407.3918555631764
2018-01-01,408.15,408.7145747685994
2018-02-01,408.52,409.33606529787323
2018-03-01,409.59,410.38848096384044
2018-04-01,410.45,411.87749022822095
2018-05-01,411.44,412.7985010628309
2018-06-01,410.99,411.52334051720277
2018-07-01,408.9,409.9766431200904
2018-08-01,407.16,407.7756591773138
2018-09-01,405.71,406.3793719874098
2018-10-01,406.19,406.4901030422113
2018-11-01,408.21,408.17584922496314
2018-12-01,409.27,409.7662302204921
2019-01-01,411.03,410.7676943948551
2019-02-01,411.96,411.4353014083849
2019-03-01,412.18,412.104894804487
2019-04-01,413.54,413.46592416953087
2019-05-01,414.86,414.217011851298
2019-06-01,414.15,413.49537270103895
2019-07-01,411.96,411.9519685416172
2019-08-01,410.17,409.52475655754586
2019-09-01,408.76,408.4489620321896
2019-10-01,408.74,408.77773487398593
2019-11-01,410.47,410.76090451253725
2019-12-01,411.97,411.8507658753196
2020-01-01,413.59,413.7733911082713
2020-02-01,414.32,414.6224508537322
2020-03-01,414.72,414.71261740800566
2020-04-01,416.42,416.0139883765081
2020-05-01,417.28,417.5062902677205
2020-06-01,416.58,416.7415122666982
2020-07-01,414.58,414.4532294413234
2020-08-01,412.75,412.8687158562324
2020-09-01,411.5,411.36637025888933
2020-10-01,411.49,411.0127617237051
2020-11-01,413.1,413.25932183851404
2020-12-01,414.23,414.8182242572367
2021-01-01,415.49,415.9974724335935
2021-02-01,416.72,417.22829544498506
2021-03-01,417.61,417.3293417997502
2021-04-01,419.01,419.20922796262954
2021-05-01,419.09,419.91545492947665
2021-06-01,418.93,419.31873708104354
2021-07-01,416.9,416.8873781799362
2021-08-01,414.42,415.6037665225586
2021-09-01,413.26,414.1174399537733
2021-10-01,413.9,414.04284626687866
2021-11-01,414.97,415.81810609558283
2021-12-01,416.67,416.98010358096616
2022-01-01,418.13,418.0850496318474
2022-02-01,419.24,419.4026504260317
2022-03-01,418.76,420.33400200203977
2022-04-01,420.19,421.6628671670615
2022-05-01,420.97,421.83171031450553
2022-06-01,420.94,421.91938987883054
2022-07-01,418.85,419.4249230400859
2022-08-01,417.15,417.0463972615224
2022-09-01,415.91,415.8953800858086
2022-10-01,415.74,416.193017662556
2022-11-01,417.47,417.74973241459054
2022-12-01,418.99,419.4128184589583
2023-01-01,419.47,420.96221592596174
2023-02-01,420.31,421.91483759342935
2023-03-01,420.99,421.31647712250486
2023-04-01,423.31,423.05606450689
2023-05-01,424.0,423.3037687331528
2023-06-01,423.68,423.68386896405445
2023-07-01,421.83,421.4338184779407
2023-08-01,419.68,419.76499735901456
2023-09-01,418.5,418.6466668162148
2023-10-01,418.82,418.3868358837682
2023-11-01,420.46,420.3367953236613
2023-12-01,421.86,421.5556741929478
2024-01-01,422.8,421.98789223807927
2024-02-01,424.55,422.9780811639059
2024-03-01,425.38,423.5709455525909
2024-04-01,426.51,425.9091455127161
2024-05-01,426.9,426.6321807191293
2024-06-01,426.91,426.1548557191756
2024-07-01,425.55,424.40839831959994
2024-08-01,422.99,422.3767425246173
2024-09-01,422.03,421.31510403636435
2024-10-01,422.38,421.4819691157261
2024-11-01,423.85,422.81903323019895
2024-12-01,425.4,424.59358944714455
2025-01-01,426.65,425.72754490677033
2025-02-01,427.09,427.4010180197483
2025-03-01,428.15,428.01530297684707
2025-04-01,429.64,429.0610682818384
2025-05-01,,429.8645750231515
2025-06-01,,429.6213295513892
2025-07-01,,430.20071757281215
2025-08-01,,430.1859757588968
2025-09-01,,430.65279939527124
2025-10-01,,430.56534469812635
2025-11-01,,430.7201511298119
2025-12-01,,430.69392239935314
2026-01-01,,431.4144109449177
2026-02-01,,431.2925367766263
2026-03-01,,432.27001982535467
2026-04-01,,432.23715862114284
