Date,Value,PercAvg_Pred
2010-01-01,388.91,407.03744287702943
2010-02-01,390.41,407.90250651366676
2010-03-01,391.37,408.65756205778365
2010-04-01,392.67,410.14767167465
2010-05-01,393.21,409.56412874750805
2010-06-01,392.38,408.94341641940844
2010-07-01,390.41,407.1246159564055
2010-08-01,388.54,405.0451296499148
2010-09-01,387.03,403.7083646468646
2010-10-01,387.43,403.9837182360216
2010-11-01,388.87,405.5725017783003
2010-12-01,389.99,407.01794144244633
2011-01-01,391.5,407.03744287702943
2011-02-01,392.05,407.90250651366676
2011-03-01,392.8,408.65756205778365
2011-04-01,393.44,410.14767167465
2011-05-01,394.41,409.56412874750805
2011-06-01,393.95,408.94341641940844
2011-07-01,392.72,407.1246159564055
2011-08-01,390.33,405.0451296499148
2011-09-01,389.28,403.7083646468646
2011-10-01,389.19,403.9837182360216
2011-11-01,390.48,405.5725017783003
2011-12-01,392.06,407.01794144244633
2012-01-01,393.31,407.03744287702943
2012-02-01,394.04,407.90250651366676
2012-03-01,394.59,408.65756205778365
2012-04-01,396.38,410.14767167465
2012-05-01,396.93,409.56412874750805
2012-06-01,395.91,408.94341641940844
2012-07-01,394.56,407.1246159564055
2012-08-01,392.59,405.0451296499148
2012-09-01,391.32,403.7083646468646
2012-10-01,391.27,403.9837182360216
2012-11-01,393.2,405.5725017783003
2012-12-01,394.57,407.01794144244633
2013-01-01,395.78,407.03744287702943
2013-02-01,397.03,407.90250651366676
2013-03-01,397.66,408.65756205778365
2013-04-01,398.64,410.14767167465
2013-05-01,400.02,409.56412874750805
2013-06-01,398.81,408.94341641940844
2013-07-01,397.51,407.1246159564055
2013-08-01,395.39,405.0451296499148
2013-09-01,393.72,403.7083646468646
2013-10-01,393.9,403.9837182360216
2013-11-01,395.36,405.5725017783003
2013-12-01,397.03,407.01794144244633
2014-01-01,398.04,407.03744287702943
2014-02-01,398.27,407.90250651366676
2014-03-01,399.91,408.65756205778365
2014-04-01,401.51,410.14767167465
2014-05-01,401.96,409.56412874750805
2014-06-01,401.43,408.94341641940844
2014-07-01,399.27,407.1246159564055
2014-08-01,397.18,405.0451296499148
2014-09-01,395.54,403.7083646468646
2014-10-01,396.16,403.9837182360216
2014-11-01,397.4,405.5725017783003
2014-12-01,399.08,407.01794144244633
2015-01-01,400.18,407.03744287702943
2015-02-01,400.55,407.90250651366676
2015-03-01,401.74,408.65756205778365
