Date,Value,SarimaPred
2010-01-01,388.91,
2010-02-01,390.41,388.9099841146404
2010-03-01,391.37,390.40999596172867
2010-04-01,392.67,391.369998926238
2010-05-01,393.21,392.6699996295245
2010-06-01,392.38,393.20999986621604
2010-07-01,390.41,392.38000004152883
2010-08-01,388.54,390.4100001983605
2010-09-01,387.03,388.5400003119669
2010-10-01,387.43,387.03000064774676
2010-11-01,388.87,387.43000194237
2010-12-01,389.99,388.8700077257399
2011-01-01,391.5,584.4450002937289
2011-02-01,392.05,393.0000314129326
2011-03-01,392.8,393.30518835942064
2011-04-01,393.44,394.3598074657246
2011-05-01,394.41,394.4062199078748
2011-06-01,393.95,393.683525376821
2011-07-01,392.72,391.8968262874827
2011-08-01,390.33,390.4922268234438
2011-09-01,389.28,388.79756495186757
2011-10-01,389.19,389.47322326610913
2011-11-01,390.48,390.68235702092545
2011-12-01,392.06,391.6433626141422
2012-01-01,393.31,393.1915774571893
2012-02-01,394.04,394.2614287218809
2012-03-01,394.59,394.9629738737892
2012-04-01,396.38,395.7217879917372
2012-05-01,396.93,396.91166471436
2012-06-01,395.91,396.22443023146445
2012-07-01,394.56,394.4288682520174
2012-08-01,392.59,392.4000670821313
2012-09-01,391.32,391.22860080710643
2012-10-01,391.27,391.41102879085946
2012-11-01,393.2,392.66956647655473
2012-12-01,394.57,394.31440495481786
2013-01-01,395.78,395.66131982343694
2013-02-01,397.03,396.62462735196175
2013-03-01,397.66,397.59758823952353
2013-04-01,398.64,398.8441202039828
2013-05-01,400.02,399.3898803511207
2013-06-01,398.81,399.0028327414706
2013-07-01,397.51,397.31544556570117
2013-08-01,395.39,395.3606148401247
2013-09-01,393.72,394.08224455973516
2013-10-01,393.9,393.9445319104276
2013-11-01,395.36,395.5091313552014
2013-12-01,397.03,396.7719379901192
2014-01-01,398.04,398.18589868204594
2014-02-01,398.27,399.0895093155245
2014-03-01,399.91,399.3313370863975
2014-04-01,401.51,400.9329048080561
2014-05-01,401.96,402.10651180399196
2014-06-01,401.43,401.06457370952876
2014-07-01,399.27,399.81913024129267
2014-08-01,397.18,397.3704600890288
2014-09-01,395.54,395.92280824653346
2014-10-01,396.16,395.83848493400893
2014-11-01,397.4,397.60023016291467
2014-12-01,399.08,398.88614159405824
2015-01-01,400.18,400.1948030187586
2015-02-01,400.55,401.0092653915141
2015-03-01,401.74,401.65719313745603
2015-04-01,403.35,403.0220277131672
2015-05-01,404.15,403.9909743343049
2015-06-01,402.97,403.24630934948954
2015-07-01,401.46,401.44517868106226
2015-08-01,399.11,399.38814662747507
2015-09-01,397.82,397.7932149325455
2015-10-01,398.49,398.05928042465956
2015-11-01,400.27,399.7815231164316
2015-12-01,402.06,401.50413033971984
2016-01-01,402.73,402.93259095530874
2016-02-01,404.25,403.49995266968165
2016-03-01,405.06,404.9110330280107
2016-04-01,407.6,406.2545612622883
2016-05-01,407.9,407.79584372783006
2016-06-01,406.99,406.8334279413585
2016-07-01,404.59,405.2912371302506
2016-08-01,402.45,402.7138046016894
2016-09-01,401.23,401.21734303923614
2016-10-01,401.79,401.568392220469
2016-11-01,403.72,403.2346760914527
2016-12-01,404.64,405.0363276546222
2017-01-01,406.36,405.8276556156234
2017-02-01,406.65,407.0596855881407
2017-03-01,407.53,407.7070679926488
2017-04-01,409.22,409.16093565264623
2017-05-01,409.89,409.9221539773583
2017-06-01,409.08,409.0224057900011
2017-07-01,407.33,407.3353329389362
2017-08-01,405.32,405.19209734592386
2017-09-01,403.57,403.89092499985554
2017-10-01,403.82,404.0285378259504
2017-11-01,405.31,405.5254595062719
2017-12-01,407.0,406.8564102107041
2018-01-01,408.15,408.15620546037013
2018-02-01,408.52,408.9365612967806
2018-03-01,409.59,409.61853768492136
2018-04-01,410.45,411.18464093865504
2018-05-01,411.44,411.46592413073625
2018-06-01,410.99,410.6582569971086
2018-07-01,408.9,409.15508560361866
2018-08-01,407.16,406.8604033067246
2018-09-01,405.71,405.62171892381264
2018-10-01,406.19,405.9717320339874
2018-11-01,408.21,407.656348838031
2018-12-01,409.27,409.43080433993
2019-01-01,411.03,410.4461407192629
